6.3,6,1
5.8,5.1,1
7.1,5.9,1
6.3,5.6,1
6.5,5.8,1
7.6,6.6,1
4.9,4.5,1
7.3,6.3,1
6.7,5.8,1
7.2,6.1,1
6.5,5.1,1
6.4,5.3,1
6.8,5.5,1
5.7,5,1
5.8,5.1,1
6.4,5.3,1
6.5,5.5,1
7.7,6.7,1
7.7,6.9,1
6,5,1
6.9,5.7,1
5.6,4.9,1
7.7,6.7,1
6.3,4.9,1
6.7,5.7,1
7.2,6,1
6.2,4.8,1
6.1,4.9,1
6.4,5.6,1
7.2,5.8,1
7.4,6.1,1
7.9,6.4,1
6.4,5.6,1
6.3,5.1,1
6.1,5.6,1
7.7,6.1,1
6.3,5.6,1
6.4,5.5,1
6,4.8,1
6.9,5.4,1
6.7,5.6,1
6.9,5.1,1
5.8,5.1,1
6.8,5.9,1
6.7,5.7,1
6.7,5.2,1
6.3,5,1
6.5,5.2,1
6.2,5.4,1
5.9,5.1,1
7,4.7,-1
6.4,4.5,-1
6.9,4.9,-1
5.5,4,-1
6.5,4.6,-1
5.7,4.5,-1
6.3,4.7,-1
4.9,3.3,-1
6.6,4.6,-1
5.2,3.9,-1
5,3.5,-1
5.9,4.2,-1
6,4,-1
6.1,4.7,-1
5.6,3.6,-1
6.7,4.4,-1
5.6,4.5,-1
5.8,4.1,-1
6.2,4.5,-1
5.6,3.9,-1
5.9,4.8,-1
6.1,4,-1
6.3,4.9,-1
6.1,4.7,-1
6.4,4.3,-1
6.6,4.4,-1
6.8,4.8,-1
6.7,5,-1
6,4.5,-1
5.7,3.5,-1
5.5,3.8,-1
5.5,3.7,-1
5.8,3.9,-1
6,5.1,-1
5.4,4.5,-1
6,4.5,-1
6.7,4.7,-1
6.3,4.4,-1
5.6,4.1,-1
5.5,4,-1
5.5,4.4,-1
6.1,4.6,-1
5.8,4,-1
5,3.3,-1
5.6,4.2,-1
5.7,4.2,-1
5.7,4.2,-1
6.2,4.3,-1
5.1,3,-1
5.7,4.1,-1
